Toy_Id,Toy_Name,toy_type,Min_Age,Max_Age,Price,Quantity,Rental_Amount
124,ETI Toys Original 101-Piece Educational,Built,3,5,30,30,1
125,Fat Brain Toys Squigz Starter Set - 24 pc, Our World,Activity,3,5,20,78,2
126,ToyVelt Dinosaur Take Apart Toys,Activity,3,5,45,89,5
127,Osmo Little Genius Starter Kit for iPad,Activity,3,5,56,10,4
128,Dynacraft Simba Plush Ride On,Activity,3,5,30,50,2
129,Kindi Kids Snack Time Friends, Marsha Mello,Doll,3,5,26,30,1
130,Kco Brands Bouncing Unicorn,Doll,3,5,45,23,1
131,Play-Doh Stamp 'n Top Pizza Oven Toy,Kitchen,3,5,20,50,3
132,Baby Alive Happy Hungry Baby,Doll,3,5,41,48,2
133,Intex Playhouse Jump-O-Lene Inflatable Bouncer,Activity,3,5,60,69,1
134,Hape Master Workbench,Activity,3,5,36,29,4
135,Fat Brain Toys Squigz Starter Set - 24 pc, Our World,Activity,3,5,50,26,3
