Toy_Id,Toy_Name,toy_type,Min_Age,Max_Age,Price,Quantity,Rental_Amount
104,Hide N Side Ball Pit, Play Tent and Tunnels,Activity,1,3,15,100,2
105,Melissa & Doug Pet Vet Play Set,Activity,1,3,20,450,3
125,Fat Brain Toys Squigz Starter Set - 24 pc, Our World,Activity,3,5,20,78,2
126,ToyVelt Dinosaur Take Apart Toys,Activity,3,5,45,89,5
127,Osmo Little Genius Starter Kit for iPad,Activity,3,5,56,10,4
128,Dynacraft Simba Plush Ride On,Activity,3,5,30,50,2
133,Intex Playhouse Jump-O-Lene Inflatable Bouncer,Activity,3,5,60,69,1
134,Hape Master Workbench,Activity,3,5,36,29,4
135,Fat Brain Toys Squigz Starter Set - 24 pc, Our World,Activity,3,5,50,26,3
136,LEGO Super Mario Adventures with Mario Starter Course,Activity,5,8,35,33,2
138,HEXBUG JUNKBOTS Dumpster Kit,Activity,5,8,50,50,3
142,Learning Resources Botley the Coding Robot 2.0 Activity Set,Activity,5,8,39,50,4
144,Treasure X Sunken Gold Treasure Ship Playset,Activity,5,8,45,49,1
146,LEGO DOTS Creative Picture Frames,Activity,5,8,45,25,5
154,Crayola Build A Beast Craft Kits,Activity,5,8,60,20,3
155,3Doodler Start Make Your Own HEXBUG Creature 3D Pen Set,Activity,5,8,54,60,3
156,ALEX Toys Spa Hair Chalk Salon,Activity,8,12,60,20,3
160,3Doodler Start Make Your Own HEXBUG Creature 3D Pen Set,Activity,8,12,58,98,1
165,Klutz LEGO Make Your Own Movie Activity Kit,Activity,8,12,54,10,5
168,Etsy Paint Your Own Bath Bombs Kit,Activity,8,12,60,20,5
