Toy_Id,Toy_Name,toy_type,Min_Age,Max_Age,Price,Quantity,Rental_Amount
156,ALEX Toys Spa Hair Chalk Salon,Activity,8,12,60,20,3
157,Mpow 059 Bluetooth Headphones,Electronic,8,12,60,20,3
158,Kan Jam Ultimate Disc Game Set,Game,8,12,60,20,3
159,Ravensburger The Earth 540 Piece 3D Jigsaw Puzzle,puzzle,8,12,60,20,3
160,3Doodler Start Make Your Own HEXBUG Creature 3D Pen Set,Activity,8,12,58,98,1
161,UncommonGoods Kid's Global Adventure Cooking Kit,Kitchen,8,12,48,80,2
162,4M Kitchen Science Kit,Kitchen,8,12,60,20,3
163,Exploding Kittens Throw Throw Burrito Game,Doll,8,12,89,10,5
164,Amazon Echo Dot Kids Edition,Electronic,8,12,60,30,1
165,Klutz LEGO Make Your Own Movie Activity Kit,Activity,8,12,54,10,5
166,Catan Studio Catan The Board Game,Game,8,12,70,56,1
167,Tosing Wireless Karaoke Microphone,Electronic,8,12,100,26,5
168,Etsy Paint Your Own Bath Bombs Kit,Activity,8,12,60,20,5
